cod_category,name_category,total_items,parti_num_items,cum_parti_num_items
MCO1574,Hogar y Muebles,4305565,5.43083916544266,5.43083916544266
MCO1132,Juegos y Juguetes,2136362,2.6947075287827293,8.12554669422539
MCO1246,Belleza y Cuidado Personal,2059954,2.5983300361764994,10.723876730401889
MCO1747,Accesorios para Vehículos,1596663,2.013956345894946,12.737833076296834
MCO1430,Ropa y Accesorios,1431321,1.805401647663095,14.543234723959928
MCO1592,Cocina,1260470,1.5898981534050722,16.133132877365
MCO3025,"Libros, Revistas y Comics",1088052,1.3724181183278423,17.505550995692843
MCO1276,Deportes y Fitness,1063357,1.3412689954622936,18.846819991155137
MCO1196,Libros Físicos,1016174,1.2817545567433146,20.128574547898452
MCO1631,Adornos y Decoración del Hogar,860546,1.0854526456957494,21.2140271935942
MCO175794,Herramientas,852205,1.0749316967659441,22.288958890360146
MCO1000,"Electrónica, Audio y Video",824783,1.0403428631065361,23.32930175346668
MCO3937,Relojes y Joyas,810070,1.021784570143555,24.351086323610236
MCO1368,"Arte, Papelería y Mercería",781489,0.9857338278629213,25.33682015147316
MCO1051,Celulares y Teléfonos,740084,0.933507489241822,26.27032764071498
MCO87919,Repuestos Carros y Camionetas,736683,0.9292176262385529,27.199545266953535
MCO176628,Muñecos y Muñecas,678137,0.8553704285351142,28.05491569548865
MCO1648,Computación,665090,0.838913550380556,28.893829245869206
MCO3813,Accesorios para Celulares,615676,0.7765850321672243,29.670414278036432
MCO1384,Bebés,563555,0.710842030228562,30.381256308264994
MCO1071,Animales y Mascotas,542265,0.683987815779988,31.065244124044984
MCO113518,Papelería,480134,0.6056186660428181,31.670862790087803
MCO7155,Iluminación para el Hogar,459712,0.5798593063683805,32.25072209645619
MCO436246,Textiles de Hogar y Decoración,457253,0.576757638292803,32.82747973474899
MCO180800,Salud y Equipamiento Médico,449388,0.5668370935939757,33.394316828342966
MCO1253,Cuidado de la Piel,440622,0.55578006945794,33.950096897800904
MCO118204,"Recuerdos, Piñatería y Fiestas",426868,0.5384314144308998,34.48852831223181
MCO1953,Otras categorías,425150,0.5362644092443029,35.02479272147611
MCO2978,Muñecos y Figuras de Acción,407685,0.5142348716518019,35.53902759312791
MCO1431,Joyería,395690,0.4991049373018422,36.038132530429756
MCO166163,Vajilla y Artículos de Servir,386800,0.4878915053409299,36.52602403577069
MCO118183,Maquillaje,361333,0.45576861763018156,36.98179265340087
MCO432437,"Carcasas, Fundas y Protectores",356465,0.44962834915034794,37.43142100255122
MCO118376,Accesorios de Moda,352089,0.44410866655631503,37.875529669107536
MCO1072,Perros,350335,0.4418962526463668,38.3174259217539
MCO3530,Otros,341811,0.4311444760395258,38.74857039779343
MCO3109,"Equipaje, Bolsos y Carteras",340632,0.42965734034977154,39.1782277381432
MCO5726,Electrodomésticos,338510,0.4269807483788991,39.6052084865221
MCO1263,Cuidado del Cabello,329371,0.41545323941480716,40.02066172593691
MCO5235,Herramientas Manuales,315684,0.3981890950673374,40.41885082100425
MCO1292,Ciclismo,307388,0.3877249070417212,40.80657572804597
MCO3835,Audio,301348,0.38010633234611824,41.18668206039209
MCO1499,Industrias y Oficinas,300728,0.37932429322173516,41.56600635361382
MCO432988,Juegos de Mesa y Cartas,284955,0.35942896562674426,41.92543531924057
MCO1039,Cámaras y Accesorios,282284,0.3560598906247649,42.281495209865334
MCO6934,Acc. para Carros y Camionetas,274908,0.346756147751459,42.62825135761679
MCO1182,Instrumentos Musicales,273541,0.34503187761753695,42.97328323523433
MCO431677,Relojes,272617,0.3438663870515209,43.31714962228585
MCO167807,Lámparas,272386,0.34357501441001687,43.66072463669586
MCO165940,Jardin y Aire Libre,271064,0.3419075051802839,44.00263214187614
MCO1362,"Camping, Caza y Pesca",265939,0.33544306886985925,44.338075210746
MCO180893,Artículos de Peluquería,263272,0.33207903928158555,44.670154250027586
MCO436273,Utensilios de Preparación,245223,0.30931287128805285,44.979467121315636
MCO166256,Baños,235189,0.2966564510073112,45.276123572322945
MCO436380,Muebles para el Hogar,233534,0.2945689110865789,45.57069248340952
MCO8830,Suplementos Alimenticios,226216,0.28533832671200565,45.85603081012153
MCO1144,Consolas y Videojuegos,221800,0.27976818998091585,46.135799000102445
MCO1442,Relojes de Pulso,219622,0.2770209622181637,46.41281996232061
MCO436298,Almacenamiento y Organización,218517,0.2756271666819648,46.688447129002576
MCO172890,Construcción,210165,0.2650923428644688,46.953539471867046
MCO169817,Fundas y Estuches,203927,0.25722402019043383,47.21076349205748
MCO438284,Pequeños Electrodomésticos,199525,0.25167154240731393,47.4624350344648
MCO5228,Herramientas Eléctricas,197666,0.24932668638759112,47.71176172085239
MCO176652,Peluches,195216,0.24623637049285152,47.95799809134524
MCO441394,Vajilla,191193,0.24116194565834645,48.19916003700359
MCO455745,Escolar,190227,0.23994347824842055,48.43910351525201
MCO1459,Inmuebles,185104,0.23348156464484873,48.672585079896855
MCO1168,"Música, Películas y Series",179258,0.22610769251397211,48.898692772410826
MCO118203,Disfraces,179098,0.2259058759657442,49.12459864837657
MCO116434,Árboles y Adornos de Navidad,176153,0.22219119012492458,49.34678983850149
MCO430687,Portátiles y Accesorios,171286,0.21605218299851736,49.56284202150001
MCO4998,Accesorios para Cámaras,165604,0.20888517282957433,49.771727194329586
MCO432871,Vehículos de Juguete,164931,0.20803628197359075,49.97976347630318
MCO454712,Perfumes y Fragancias,159631,0.20135110881354182,50.18111458511672
MCO181058,Manicure y Pedicure,156378,0.19724792611738348,50.3783625112341
MCO165955,Motor,156249,0.19708521152537475,50.57544772275948
MCO441117,Mercería,153467,0.19357612629306228,50.76902384905254
MCO1271,Perfumes,153050,0.19305014191424333,50.96207399096678
MCO176611,Muñecas y Bebotes,152730,0.19264650881778755,51.15472049978457
MCO166343,Ropa de Cama,152707,0.1926174976889798,51.347337997473545
MCO436280,Cocción y Horneado,149898,0.18907435591415386,51.536412353387696
MCO12214,Accesorios para Bicicletas,146726,0.1850733428455359,51.72148569623323
MCO1910,Otros,146195,0.18440356417610457,51.90588926040933
MCO180917,Cuidado Facial,143631,0.1811694539907526,52.08705871440009
MCO1161,Juegos de Mesa,143054,0.18044165306370574,52.26750036746379
MCO180951,Shampoos y Acondicionadores,141851,0.1789242448917173,52.44642461235551
MCO1338,Fitness y Musculación,141715,0.1787527008257236,52.62517731318123
MCO180954,Extensiones y Pelucas,141238,0.17815103524131917,52.80332834842255
MCO5208,Calzado,140589,0.1773324168675698,52.980660765290125
MCO1403,Alimentos y Bebidas,140314,0.17698554467530309,53.15764630996543
MCO169036,Accesorios para Herramientas,140095,0.17670930827491615,53.334355618240345
MCO441864,Arte y Manualidades,139690,0.17619846013721432,53.51055407837756
MCO455425,Juegos de Construcción,138704,0.17495476565875992,53.68550884403632
MCO118210,Decoración para Fiestas,138190,0.1743064299975778,53.8598152740339
MCO164723,Tapetes Decorativos,134885,0.17013765692324542,54.029952930957144
MCO176638,Bloques y Figuras para Armar,133520,0.1684159094961762,54.19836884045332
MCO1581,Para Cocina,131906,0.16638008506592736,54.364748925519244
MCO1176,Música,130755,0.16492826727211296,54.529677192791354
MCO441382,Accesorios para Baños,129456,0.16328976917118776,54.69296696196254
MCO181171,Cuidado del Hogar y Lavandería,129455,0.16328850781776133,54.8562554697803
MCO436414,Organización para el Hogar,127763,0.16115429782025137,55.017409767600554
MCO442089,Instrumentos de Cuerdas,125641,0.15847770584937892,55.17588747344993
MCO177804,Seguridad para el Hogar,125321,0.15807407275292315,55.33396154620286
MCO1435,Collares y Cadenas,123238,0.1554466735656813,55.48940821976854
MCO74122,Repuestos Motos y Cuatrimotos,123144,0.1553281063435974,55.64473632611214
MCO8475,Acc. para Motos y Cuatrimotos,122800,0.15489420076490742,55.799630526877046
MCO8589,Accesorios de Camping,121651,0.15344490567794586,55.95307543255499
MCO173811,Accesorios de Interior,120651,0.15218355225152155,56.10525898480651
MCO441115,Almacén,119303,0.15048324783270156,56.255742232639214
MCO264751,Accesorios de Peluquería,119068,0.15018682977749184,56.4059290624167
MCO163237,Videojuegos,118918,0.14999762676352818,56.55592668918023
MCO441186,Escritura,116916,0.14747239720382668,56.70339908638406
MCO116380,Otros,114289,0.14415882175260997,56.84755790813667
MCO11830,Componentes Electrónicos,113361,0.1429882857728882,56.99054619390956
MCO1392,Juegos y Juguetes para Bebés,113341,0.1429630587043597,57.13350925261392
MCO180916,Cuidado Corporal,112771,0.14224408725129783,57.27575333986522
MCO167808,Bombillos,110348,0.1391878278990717,57.41494116776429
MCO1367,Antigüedades y Colecciones,106964,0.13491940790405177,57.54986057566834
MCO3697,Audífonos,106341,0.1341335847193894,57.683994160387726
MCO5054,Cables,105769,0.1334120905594747,57.8174062509472
MCO3690,Accesorios Audio y Video,105359,0.13289493565464072,57.95030118660184
MCO116395,Vinilos Decorativos,105309,0.1328318679833195,58.08313305458516
MCO455174,Artefactos para el Cabello,105092,0.13255815428978543,58.215691208874944
MCO434764,Viaje y Paseo,102700,0.12954099689377843,58.345232205768724
MCO1259,Otros,102201,0.1289115815339927,58.474143787302715
MCO116357,Frenos,101849,0.12846758512789133,58.60261137243061
MCO118186,Rostro,101636,0.12819891684806295,58.73081028927867
MCO2102,Equipamiento para Oficinas,101572,0.1281181902287718,58.85892847950744
MCO455746,Comercial y Oficina,100493,0.12675718988165996,58.9856856693891
MCO1081,Gatos,97968,0.12357227247993852,59.10925794186904
MCO167818,Lámparas de Mesa de Noche,97593,0.1230992649450294,59.23235720681407
MCO116378,"Baterías, Ollas y Sartenes",97250,0.12266662071976585,59.355023827533834
MCO441828,Ropa Interior y de Dormir,96518,0.12174331001162325,59.47676713754546
MCO118187,Ojos,96203,0.12134598368229958,59.598113121227755
MCO173787,Accesorios de Exterior,95686,0.1206938639608382,59.71880698518859
MCO454379,Periféricos de PC,95056,0.11989921130219088,59.83870619649078
MCO180986,Higiene Personal,94530,0.11923573939989168,59.95794193589067
MCO441185,Otros,93871,0.11840450749187804,60.076346443382555
MCO7086,Accesorios,92674,0.11689466744044813,60.193241110823
MCO166170,Moldes,91792,0.11578215371834187,60.309023264541345
MCO1434,Pulseras,91599,0.11553871250704198,60.424561977048384
MCO455180,Figuras Decorativas,91549,0.11547564483572076,60.5400376218841
MCO1369,Pinturas,91326,0.11519436302162814,60.65523198490573
MCO441119,Electricidad,91159,0.11498371699941527,60.77021570190515
MCO166162,Cubiertos,91112,0.11492443338837333,60.885140135293526
MCO12953,Películas Protectoras,90004,0.11352685379189517,60.99866698908542
MCO1902,Otros,89856,0.11334017348478438,61.11200716257021
MCO167812,Lámparas de Techo,89000,0.11226045495176515,61.224267617521974
MCO434738,Otros,87875,0.11084143234703778,61.33510904986901
MCO455528,Abrigos,87790,0.11073421730579172,61.4458432671748
MCO370579,"Collares, Correas y Arneses",87446,0.11030031172710175,61.5561435789019
MCO169769,Pelucas,86755,0.10942871650944254,61.665572295411344
MCO436440,"Marcos, Letreros y Espejos",86715,0.10937826237238556,61.77495055778373
MCO5362,Cuarto del Bebé,86650,0.10929627439966798,61.8842468321834
MCO8472,Gafas y Accesorios,85573,0.10793779675940898,61.99218462894281
MCO438578,Accesorios para Consolas,85488,0.10783058171816291,62.10001521066097
MCO1472,Apartamentos,85187,0.10745091433680919,62.20746612499778
MCO454731,Accesorios,84463,0.10653769445607798,62.31400381945386
MCO3377,Accesorios para Portátiles,84344,0.10638759339833348,62.42039141285219
MCO1934,Repuestos,84204,0.10621100391863407,62.52660241677082
MCO166410,Morrales,83057,0.10476423153852538,62.631366648309346
MCO455252,Fijación,82871,0.10452961980121045,62.73589626811056
MCO430630,Mouses y Teclados,82615,0.10420671332404582,62.840102981434605
MCO166624,Instrumentos de Medición,82573,0.104153736480136,62.94425671791474
MCO157291,Ropa Interior,81954,0.10337295870917934,63.04762967662392
MCO3398,Vehículos a Escala,81003,0.1021734116006498,63.14980308822457
MCO116330,Aretes,79725,0.10056140192167952,63.250364490146254
MCO5679,Tuning,79671,0.1004932888366526,63.350857778982906
MCO5360,Lactancia y Alimentación,77356,0.09757325565448029,63.44843103463739
MCO40957,"Funcional, Pilates y Yoga",76686,0.09672814885877598,63.54515918349616
MCO157283,Camisetas,76541,0.09654525261194445,63.64170443610811
MCO431994,Equipaje y Accesorios de Viaje,75380,0.09508082128386582,63.73678525739197
MCO174883,Suspensión y Dirección,74405,0.09385100169310209,63.830636259085075
MCO432873,Hobbies,73131,0.0922440374278375,63.922880296512915
MCO113531,Otras Herramientas Manuales,73104,0.09220998088532405,64.01509027739824
MCO432947,Tablets y Accesorios,73099,0.09220367411819191,64.10729395151644
MCO7156,Estatuas,72838,0.09187446087389517,64.19916841239034
MCO157294,Vestidos,72626,0.09160705394749322,64.29077546633783
MCO436800,Rompecabezas,72123,0.09097259317400178,64.38174805951184
MCO441836,Artística y Pintura,71535,0.09023091735926426,64.4719789768711
MCO455675,Venta,70496,0.08892037114920939,64.56089934802031
MCO1474,Propiedades Individuales,70496,0.08892037114920939,64.64981971916953
MCO436140,Cortinas y Accesorios,70330,0.08871098648042296,64.73853070564995
MCO441364,Repuestos para Portátiles,70206,0.08855457865554633,64.8270852843055
MCO455388,Jardinería y Accesorios,69992,0.08828464902229154,64.91536993332778
MCO436495,Modelismo,69712,0.08793147006289272,65.00330140339068
MCO8657,Iluminación,68295,0.08614413225764946,65.08944553564832
MCO117973,Para Hogar,67407,0.08502405041498465,65.17446958606331
MCO5069,Cargadores,67267,0.08484746093528524,65.25931704699859
MCO118153,Ropa Deportiva,66975,0.08447914573476933,65.34379619273336
MCO113528,Kits de Herramientas,66795,0.08425210211801296,65.42804829485138
MCO118185,Labios,66257,0.08357349397459667,65.51162178882598
MCO430271,"Gorros, Sombreros y Boinas",66058,0.08332248464273823,65.59494427346871
MCO455396,Decoración de Exterior,65445,0.08254927499234012,65.67749354846106
MCO116438,Luces Navideñas,63776,0.08044407612363791,65.7579376245847
MCO118105,Gafas de Sol,63512,0.08011107881906189,65.83804870340376
MCO8952,Seguridad Laboral,63289,0.07982979700496927,65.91787850040873
MCO1635,Cuadros,62090,0.0783174342466865,65.99619593465542
MCO455178,Plantas y Flores Artificiales,61424,0.0774773728646879,66.07367330752011
MCO165964,Carrocería,61321,0.07734745346176619,66.15102076098188
MCO113156,Cables de Audio y Video,60982,0.07691985465020834,66.2279406156321
MCO441634,Sistemas de Monitoreo,59681,0.0752788338424303,66.30321944947453
MCO7407,Bolsos,59629,0.07521324346425623,66.37843269293879
MCO420011,Estudio e Iluminación,59500,0.07505052887224749,66.45348322181104
MCO4159,Carcasas,59305,0.07480456495409475,66.52828778676513
MCO436299,Otros,59222,0.07469987261970153,66.60298765938484
MCO87923,Otros,58571,0.07387873153909928,66.67686639092393
MCO420641,Impresión,58128,0.07331995197119331,66.75018634289513
MCO1266,Tratamientos para el Cabello,56974,0.07186435011709964,66.82205069301223
MCO116358,Filtros,56800,0.0716448746209018,66.89369556763313
MCO166165,Vasos,56792,0.0716347837934904,66.96533035142662
MCO166175,Utensillos de Repostería,56646,0.07145062619323246,67.03678097761984
MCO420277,Paseo del Bebé,56345,0.07107095881187873,67.10785193643171
MCO3698,Otros,56042,0.07068876872367216,67.17854070515538
MCO85779,Accesorios,55873,0.07047559999460645,67.24901630515
MCO441249,"Camas, Colchones y Accesorios",55402,0.0698815025307606,67.31889780768076
MCO1700,Conectividad y Redes,54926,0.06928109829978261,67.38817890598054
MCO5329,Ropa para Perros,54834,0.06916505378455158,67.45734395976508
MCO172901,"Plantas, Siembra y Cultivo",54789,0.06910829288036248,67.52645225264544
MCO432991,Juguetes Antiestrés e Ingenio,54729,0.06903261167477702,67.59548486432021
MCO117971,Preparación de Alimentos,54230,0.06840319631499128,67.6638880606352
MCO180801,Cuidado de la Salud,53875,0.06795541584861065,67.73184347648382
MCO1227,Otros,53636,0.06765395237969524,67.79949742886352
MCO431869,Organizadores de Ropa,53525,0.06751394214936213,67.86701137101288
MCO437215,Accesorios para el Cabello,53384,0.0673360913162363,67.93434746232911
MCO441759,Mantelería y Platos de Sitio,53122,0.06700561671851313,68.00135307904763
MCO176742,Arte y Manualidades,51773,0.0653040509462667,68.0666571299939
MCO116329,Anillos,51322,0.06473518055094934,68.13139231054485
MCO116391,Cortinas y Persianas,50982,0.06430632038596507,68.19569863093082
MCO169110,Extensiones y Cortinas,50968,0.06428866143799512,68.25998729236882
MCO157397,Decoración de Uñas,50709,0.06396197090055122,68.32394926326937
MCO1275,Otros,50500,0.06369834803442855,68.3876476113038
MCO180809,Ortopedia,50266,0.06340319133264524,68.45105080263644
MCO436810,Artículos para Bisutería,50120,0.0632190337323873,68.51426983636883
MCO5236,Otros,49868,0.06290117266892836,68.57717100903776
MCO180752,Accesorios de Limpieza,49820,0.06284062770446,68.64001163674222
MCO169111,Cepillos,49718,0.06271196965496471,68.70272360639719
MCO157245,Electrónicos para Niños,49683,0.06266782228503986,68.76539142868222
MCO116374,Cuchillos,49669,0.06265016333706992,68.82804159201929
MCO441358,Componentes de PC,49639,0.06261232273427719,68.89065391475357
MCO166167,Mugs,49499,0.06243573325457779,68.95308964800815
MCO439778,Otros Accesorios,48769,0.06151494525328803,69.01460459326144
MCO435360,Interruptores y Enchufes,48727,0.06146196840937821,69.07606656167081
MCO438203,Equipamiento para Camping,48586,0.06128411757625238,69.13735067924706
MCO165934,Bolígrafos y Plumas,48534,0.06121852719807831,69.19856920644514
MCO430918,Cables y Hubs USB,48149,0.060732906128904945,69.25930211257405
MCO1091,Peces,47952,0.06048441950389936,69.31978653207794
MCO165988,Lencería,47926,0.060451624314812324,69.38023815639275
MCO157280,Blusas,47704,0.06017160385414612,69.4404097602469
MCO3004,Baterías y Percusión,47044,0.059339110592706065,69.4997488708396
